Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
Bladen Bluff WTP Finished Water,5/18/21,GenX,11.3,11.3,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,5/18/21,PFOS,2.2000001,2.2000001,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,5/18/21,PFOA,2.9000001,2.9000001,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,6/8/21,GenX,8.1999998,8.1999998,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,6/8/21,PFOS,2.2000001,2.2000001,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,6/8/21,PFOA,2.8,2.8,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,7/27/21,GenX,10.5,10.5,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,7/27/21,PFOS,2.0999999,2.0999999,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,7/27/21,PFOA,2.9000001,2.9000001,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,1/8/21,GenX,2.35,2.35,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,1/8/21,PFOS,< 2,2,ng/L,,N,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,1/8/21,PFOA,< 2,2,ng/L,,N,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,2/5/21,GenX,3.806,3.806,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,2/5/21,PFOS,< 2,2,ng/L,,N,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,2/5/21,PFOA,2.073,2.073,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,3/12/21,GenX,6.795,6.795,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,3/12/21,PFOS,2.575,2.575,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,3/12/21,PFOA,2.475,2.475,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,4/9/21,GenX,6.743,6.743,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,4/9/21,PFOS,2.097,2.097,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,4/9/21,PFOA,< 2,2,ng/L,,N,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,8/24/21,GenX,8.2,8.2,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,8/24/21,PFOS,3.7,3.7,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,8/24/21,PFOA,3.9,3.9,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,9/21/21,GenX,10.8,10.8,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,9/21/21,PFOS,2.1,2.1,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,9/21/21,PFOA,4,4,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,10/19/21,GenX,9.4,9.4,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,10/19/21,PFOS,2.5,2.5,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,10/19/21,PFOA,2.7,2.7,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,11/16/21,GenX,5.1,5.1,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,11/16/21,PFOS,< 2,2,ng/L,,N,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,11/16/21,PFOA,< 2,2,ng/L,,N,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,12/14/21,GenX,2.8,2.8,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,12/14/21,PFOS,2,2,ng/L,,Y,2,-8772680.416,4131786.92
Bladen Bluff WTP Finished Water,12/14/21,PFOA,< 2,2,ng/L,,N,2,-8772680.416,4131786.92